item_id,project_id,category,sub_category,item_name,unit,quantity,rate_per_unit_inr,amount_inr
ITM000010,PRJ0001,Civil,Flooring,Granite flooring,sqm,15832.34,2863.36,45333689.06
ITM000013,PRJ0001,Civil,Doors and Windows,Flush doors with frame,nos,95.0,8165.56,775728.2
ITM000015,PRJ0001,Electrical,Switchgear,MCCB panel 200A,nos,6.0,17923.99,107543.94
ITM000018,PRJ0001,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,649698.4,649698.4
ITM000026,PRJ0001,Electrical,Earthing,Earthing pit with GI strip,nos,38.0,3836.79,145798.02
ITM000027,PRJ0001,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,4.0,42438.61,169754.44
ITM000042,PRJ0002,Civil,Painting,Exterior weatherproof paint,sqm,58969.34,114.69,6763193.6
ITM000058,PRJ0002,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,59.0,4286.46,252901.14
ITM000063,PRJ0003,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,179.45,350.38,62875.69
ITM000081,PRJ0003,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,832.47,46.54,38743.15
ITM000093,PRJ0004,Civil,Doors and Windows,Aluminium windows with glazing,sqm,17672.86,5173.34,91427713.55
ITM000101,PRJ0004,Electrical,Lighting,LED street/flood light 50W,nos,330.0,1849.22,610242.6
ITM000109,PRJ0004,Electrical,Switchgear,MCB distribution board (8-way),nos,370.0,1945.03,719661.1
ITM000117,PRJ0005,Civil,Flooring,Vitrified tile flooring,sqm,149818.55,1004.14,150438798.8
ITM000122,PRJ0005,Civil,Structural Steel,Structural steel fabrication & erection,kg,278979.95,116.49,32498374.38
ITM000130,PRJ0005,Civil,Masonry,AAC block masonry (200mm),sqm,61625.96,658.56,40584392.22
ITM000131,PRJ0005,Electrical,Lighting,LED street/flood light 50W,nos,184.0,2493.14,458737.76
ITM000144,PRJ0005,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,8.0,58768.72,470149.76
ITM000147,PRJ0006,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,11292.68,818.87,9247236.87
ITM000151,PRJ0006,Civil,Doors and Windows,Flush doors with frame,nos,38.0,13407.1,509469.8
ITM000154,PRJ0006,Civil,Concrete,RCC M25 for footings/columns,cum,616.62,9556.43,5892685.87
ITM000158,PRJ0006,Electrical,Lighting,Emergency exit light,nos,22.0,1560.64,34334.08
ITM000159,PRJ0006,Electrical,Switchgear,Main LT panel (custom),nos,1.0,144781.57,144781.57
ITM000162,PRJ0006,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,9972.66,52.8,526556.45
ITM000166,PRJ0006,Electrical,DG Set,Diesel generator set (backup),nos,1.0,584924.41,584924.41
ITM000168,PRJ0006,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,31198.8,40.83,1273847.0
ITM000169,PRJ0006,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,160.94,1297.62,208838.96
ITM000170,PRJ0006,Electrical,Lighting,LED street/flood light 50W,nos,23.0,2880.03,66240.69
ITM000173,PRJ0006,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,5385.34,273.46,1472675.08
ITM000181,PRJ0007,Civil,Earthwork,Excavation for foundation,cum,4529.96,265.61,1203202.68
ITM000194,PRJ0007,Electrical,Lighting,LED panel light 18W,nos,2359.0,692.74,1634173.66
ITM000196,PRJ0007,Electrical,Switchgear,Main LT panel (custom),nos,1.0,154199.09,154199.09
ITM000197,PRJ0007,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,482593.92,482593.92
ITM000200,PRJ0007,Electrical,Lighting,Emergency exit light,nos,84.0,1446.82,121532.88
ITM000204,PRJ0007,Electrical,Lighting,LED street/flood light 50W,nos,235.0,2666.17,626549.95
ITM000208,PRJ0007,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,177.0,4063.77,719287.29
